best_time_raw,mean_time_raw,median_time_raw,sd_time_raw,cv_time_raw,worst_time_raw,range_time_raw,q25_time_raw,q75_time_raw,best_time_wc,mean_time_wc,median_time_wc,sd_time_wc,cv_time_wc,worst_time_wc,range_time_wc,q25_time_wc,q75_time_wc,improvement_slope_raw,improvement_residual_sd,improvement_slope_wc,best_minus_first,best_minus_latest,improvement_rate_annual,n_records,n_competitions,n_seasons,career_span_years,age_first_record,age_best_record,records_per_year,has_final,n_finals,pct_finals,heats_final_diff,wind_missing_prop,wind_mean,wind_sd,wind_mean_tail,wind_mean_head,height_cm,weight_kg,height_missing,weight_missing,bmi,year_first,year_last,year_mean,career_span_calendar,decade_first,decade_mode,birth_cohort_5yr,athlete_id,sex,lifetime_pb,has_anthro
12.64,12.74,12.74,0.1414,0.0111,12.84,0.2,12.69,12.79,12.61,12.794,12.794,0.2602,0.0203,12.978,0.368,12.702,12.886,,,,0.0,0.2,0.0,2,1,1,0.0,19.0,19.0,2.0,1,1,0.5,-0.2,0.0,-0.9,1.9799,0.5,-2.3,,,1,1,,2019,2019,2019.0,0,2010,2010,2000,fef0c0b545c38473,F,12.64,0
12.56,12.7967,12.82,0.2259,0.0177,13.01,0.45,12.69,12.915,12.608,12.8367,12.892,0.2066,0.0161,13.01,0.402,12.75,12.951,-0.0827,0.0795,-0.08,0.26,0.0,0.0605,3,3,2,4.0,15.0,20.0,0.6979,0,0,0.0,0.0,0.0,-0.6667,0.611,0.0,-1.0,175.0,63.0,0,0,20.5714,2015,2019,2016.3333,4,2010,2010,1995,c056b9414487d484,F,12.44,1
11.82,12.0175,12.005,0.1074,0.0089,12.18,0.36,11.9725,12.0875,11.682,12.0065,12.003,0.1543,0.0128,12.192,0.51,11.976,12.112,-0.188,0.06,-0.1987,0.36,0.17,0.2689,12,8,2,1.0,18.0,20.0,8.9632,1,3,0.25,0.039,0.0,0.1833,0.987,1.325,-0.3875,,,1,1,,2014,2015,2014.8333,1,2010,2010,1995,3dc3b7e66fa9b48b,F,11.82,0
11.17,11.23,11.23,0.0849,0.0076,11.29,0.12,11.2,11.26,11.185,11.2375,11.2375,0.0742,0.0066,11.29,0.105,11.2112,11.2638,,,,0.12,0.0,1.2523,2,2,1,0.0,19.0,19.0,20.8714,0,0,0.0,0.0,0.0,-0.15,0.2121,0.0,-0.3,,,1,1,,2016,2016,2016.0,0,2010,2010,1995,229768dea099fb25,M,11.01,0
11.88,12.1782,12.13,0.2208,0.0181,12.56,0.68,12.045,12.29,11.772,12.1607,12.136,0.2438,0.02,12.542,0.77,12.007,12.314,0.4317,0.1319,0.4484,0.21,0.68,0.1982,11,8,2,1.0,18.0,19.0,10.3818,1,2,0.1818,0.1564,0.0,0.2909,0.7476,0.94,-0.25,,,1,1,,2015,2016,2015.2727,1,2010,2010,1995,c8b74923a5cdd3b0,F,11.88,0
12.1,12.318,12.3,0.147,0.0119,12.5,0.4,12.3,12.39,12.076,12.3096,12.33,0.1467,0.0119,12.456,0.38,12.282,12.404,0.204,0.1025,0.1006,0.2,0.4,0.2024,5,4,2,1.0,18.0,19.0,5.0589,1,1,0.2,-0.09,0.0,0.14,1.0213,0.7667,-0.8,,,1,1,,2016,2017,2016.2,1,2010,2010,1995,228f16dacf006514,F,12.1,0
12.96,12.96,12.96,0.0,0.0,12.96,0.0,12.96,12.96,13.104,13.104,13.104,0.0,0.0,13.104,0.0,13.104,13.104,,,,0.0,0.0,0.0,2,2,1,0.0,20.0,20.0,24.35,1,2,1.0,0.0,0.0,-2.4,0.0,0.0,-2.4,172.0,50.0,0,0,16.901,2020,2020,2020.0,0,2020,2020,2000,06abb92b9a798eba,F,12.92,1
11.78,11.8556,11.87,0.0461,0.0039,11.91,0.13,11.82,11.89,11.68,11.8136,11.856,0.0852,0.0072,11.894,0.214,11.726,11.876,0.0112,0.043,-0.0169,0.09,0.13,0.0445,9,6,3,2.0,17.0,18.0,4.4543,1,4,0.4444,0.005,0.0,0.7,0.8732,1.1,-0.1,,,1,1,,2015,2017,2016.1111,2,2010,2010,1995,5de1a384f781c8ac,F,11.71,0
12.57,12.738,12.77,0.1207,0.0095,12.85,0.28,12.66,12.84,12.564,12.7356,12.734,0.1291,0.0101,12.876,0.312,12.66,12.844,-0.0723,0.0945,-0.0534,0.2,0.27,0.0954,5,5,2,2.0,16.0,18.0,2.3841,0,0,0.0,0.0,0.2,0.05,0.4933,0.2667,-0.6,,,1,1,,2017,2019,2018.2,2,2010,2010,2000,c48355e0ae97d7df,F,12.14,0
11.16,11.285,11.285,0.1768,0.0157,11.41,0.25,11.2225,11.3475,11.07,11.2425,11.2425,0.244,0.0217,11.415,0.345,11.1562,11.3288,,,,0.0,0.25,0.0,2,2,1,0.0,20.0,20.0,26.0893,0,0,0.0,0.0,0.0,0.85,1.3435,1.8,-0.1,,,1,1,,2017,2017,2017.0,0,2010,2010,1995,cbe3a0c30fc4baf3,M,10.86,0
12.89,12.97,12.97,0.1131,0.0087,13.05,0.16,12.93,13.01,12.908,12.985,12.985,0.1089,0.0084,13.062,0.154,12.9465,13.0235,,,,0.16,0.0,0.1724,2,2,2,1.0,18.0,18.0,2.1549,1,1,0.5,0.16,0.0,-0.25,0.0707,0.0,-0.25,174.0,64.0,0,0,21.1389,2019,2020,2019.5,1,2010,2010,2000,2cd95dcf6b7c3bfe,F,12.83,1
12.31,12.48,12.495,0.1226,0.0098,12.6,0.29,12.3975,12.585,12.19,12.46,12.484,0.1581,0.0127,12.618,0.428,12.4095,12.5705,-0.142,0.0321,-0.1534,0.29,0.08,0.1453,6,6,3,2.0,17.0,19.0,3.0062,0,0,0.0,0.0,0.0,0.3333,0.8824,0.9,-0.2333,,,1,1,,2015,2017,2015.8333,2,2010,2010,1995,763ad4b01147423c,F,12.06,0
12.32,12.56,12.49,0.2369,0.0189,13.07,0.75,12.4525,12.59,12.332,12.569,12.49,0.2561,0.0204,13.136,0.804,12.4405,12.5945,-0.2548,0.1349,-0.2819,0.75,0.05,0.3481,8,7,3,2.0,16.0,18.0,3.7128,1,1,0.125,0.0114,0.375,-0.24,0.5177,0.3,-0.375,,,1,1,,2017,2019,2018.5,2,2010,2010,2000,4197da84068801d2,F,11.95,0
12.76,13.125,13.06,0.2717,0.0207,13.62,0.86,12.935,13.29,12.634,13.0764,12.99,0.3069,0.0235,13.62,0.986,12.9125,13.301,-0.0488,0.2531,-0.0552,0.7,0.15,0.2214,10,10,4,3.0,16.0,17.0,3.1623,0,0,0.0,0.0,0.3,1.1571,1.2985,1.5,-0.9,172.0,57.0,0,0,19.2672,2016,2019,2018.0,3,2010,2010,2000,997096a020c5254a,F,12.76,1
10.56,10.6067,10.61,0.0451,0.0043,10.65,0.09,10.585,10.63,10.43,10.5317,10.57,0.0889,0.0084,10.595,0.165,10.5,10.5825,-0.6417,0.0204,-0.9378,0.09,0.05,0.8884,3,2,1,0.0,17.0,17.0,29.6149,1,1,0.3333,-0.05,0.0,1.5,0.9644,1.5,0.0,,,1,1,,2017,2017,2017.0,0,2010,2010,2000,6f0dbd0388aef32c,M,10.35,0
11.13,11.18,11.18,0.0707,0.0063,11.23,0.1,11.155,11.205,11.025,11.06,11.06,0.0495,0.0045,11.095,0.07,11.0425,11.0775,,,,0.1,0.0,12.175,2,2,1,0.0,18.0,18.0,243.5,0,0,0.0,0.0,0.0,2.4,0.4243,2.4,0.0,179.0,65.0,0,0,20.2865,2019,2019,2019.0,0,2010,2010,2000,e1093ff95ace0a52,M,11.13,1
13.2,13.335,13.335,0.1909,0.0143,13.47,0.27,13.2675,13.4025,13.17,13.389,13.389,0.3097,0.0231,13.608,0.438,13.2795,13.4985,,,,0.0,0.27,0.0,2,1,1,0.0,17.0,17.0,2.0,1,1,0.5,-0.27,0.0,-0.9,1.9799,0.5,-2.3,,,1,1,,2019,2019,2019.0,0,2010,2010,2000,907c511a817ad62a,F,12.73,0
12.76,12.93,12.96,0.1317,0.0102,13.07,0.31,12.83,13.03,12.61,12.8592,12.942,0.2046,0.0159,13.07,0.46,12.674,13.0,-0.0587,0.1015,-0.0775,0.27,0.2,0.0895,5,5,4,3.0,16.0,18.0,1.6572,1,1,0.2,-0.0375,0.2,1.475,1.2447,1.475,0.0,168.0,52.0,0,0,18.424,2017,2020,2018.6,3,2010,2010,2000,18e78a10b9030d73,F,12.76,1
12.76,13.545,13.575,0.4564,0.0337,14.16,1.4,13.4875,13.7,12.76,13.554,13.62,0.4532,0.0334,14.136,1.376,13.481,13.72,-0.1243,0.3672,-0.1062,1.4,0.81,0.3257,6,6,4,4.0,15.0,18.0,1.3959,0,0,0.0,0.0,0.5,-0.3,1.044,0.3,-1.5,165.0,50.0,0,0,18.3655,2015,2019,2017.3333,4,2010,2010,1995,96f057992072ec0b,F,12.76,1
12.49,12.6943,12.67,0.1577,0.0124,12.91,0.42,12.595,12.8,12.43,12.702,12.702,0.1811,0.0143,12.964,0.534,12.6,12.809,0.1139,0.0744,0.1131,0.04,0.38,0.0129,7,7,3,3.0,16.0,17.0,2.2646,0,0,0.0,0.0,0.2857,-0.18,0.9524,0.85,-0.8667,,,1,1,,2018,2021,2019.4286,3,2010,2010,2000,a7712f6f6b70ff33,F,12.49,0
12.27,12.37,12.42,0.0866,0.007,12.42,0.15,12.345,12.42,12.282,12.378,12.36,0.1062,0.0086,12.492,0.21,12.321,12.426,-0.0413,0.0609,0.0136,0.15,0.0,0.0807,3,3,2,2.0,18.0,20.0,1.6138,0,0,0.0,0.0,0.0,-0.1333,1.1015,1.0,-0.7,,,1,1,,2014,2016,2015.3333,2,2010,2010,1995,63ebc4a3bac02ecd,F,11.9,0
12.52,12.5675,12.575,0.0395,0.0031,12.6,0.08,12.5425,12.6,12.454,12.5825,12.611,0.0894,0.0071,12.654,0.2,12.5575,12.636,0.0114,0.0328,-0.0074,0.03,0.08,0.0151,4,4,2,2.0,18.0,20.0,2.0152,0,0,0.0,0.0,0.0,-0.25,0.9147,1.1,-0.7,163.0,45.0,0,0,16.937,2019,2021,2020.5,2,2010,2020,2000,e6ee62e1efb4bbdd,F,12.52,1
12.14,12.3327,12.33,0.1019,0.0083,12.48,0.34,12.275,12.39,12.002,12.2984,12.276,0.1465,0.0119,12.57,0.568,12.242,12.394,-0.0402,0.086,-0.0272,0.22,0.19,0.0681,11,10,3,3.0,16.0,19.0,3.4049,1,2,0.1818,0.0217,0.0,0.5727,1.0593,0.9333,-1.05,,,1,1,,2014,2017,2016.1818,3,2010,2010,1995,39a579b820eb6edf,F,12.14,0
12.04,12.31,12.215,0.3362,0.0273,12.77,0.73,12.07,12.455,12.004,12.2875,12.188,0.3585,0.0292,12.77,0.766,12.0205,12.455,0.5645,0.1344,0.6119,0.0,0.73,0.0,4,4,2,1.0,18.0,18.0,3.9593,0,0,0.0,0.0,0.5,0.75,0.2121,0.75,0.0,,,1,1,,2017,2018,2017.5,1,2010,2010,1995,d79a547d25cd4db7,F,12.04,0
12.22,12.5031,12.485,0.1978,0.0158,12.89,0.67,12.3675,12.6725,12.22,12.5125,12.484,0.2246,0.018,12.962,0.742,12.363,12.7045,-0.016,0.1905,-0.0249,0.67,0.51,0.1636,16,13,5,4.0,16.0,19.0,3.9064,1,4,0.25,0.2442,0.25,-0.2083,0.6653,0.7,-0.6571,,,1,1,,2017,2021,2019.4375,4,2010,2010,2000,d4fab485cd6aab59,F,12.22,0
11.72,11.81,11.82,0.0854,0.0072,11.89,0.17,11.77,11.855,11.72,11.8017,11.77,0.1013,0.0086,11.915,0.195,11.745,11.8425,-0.0595,0.0444,-0.087,0.17,0.1,0.0856,3,3,2,2.0,18.0,20.0,1.5114,1,3,1.0,0.0,0.3333,0.25,1.0607,1.0,-0.5,184.0,72.0,0,0,21.2665,2017,2019,2018.3333,2,2010,2010,1995,4bc8fdb83fcc90a2,M,11.38,1
12.97,13.249,13.195,0.207,0.0156,13.58,0.61,13.1125,13.4275,12.916,13.2652,13.214,0.2326,0.0175,13.64,0.724,13.1315,13.459,-0.0229,0.1949,-0.0437,0.13,0.19,0.0324,10,10,4,4.0,16.0,19.0,2.4898,1,2,0.2,0.3237,0.1,-0.3,0.6727,0.65,-0.8,,,1,1,,2017,2021,2019.3,4,2010,2010,2000,15e3990a5984f25e,F,12.97,0
12.11,12.145,12.145,0.0495,0.0041,12.18,0.07,12.1275,12.1625,12.044,12.07,12.07,0.0368,0.003,12.096,0.052,12.057,12.083,,,,0.07,0.0,0.3364,2,2,1,0.0,19.0,19.0,9.6118,1,2,1.0,0.0,0.0,1.25,0.2121,1.25,0.0,,,1,1,,2017,2017,2017.0,0,2010,2010,1995,1d1901d5e14c875a,F,11.88,0
12.41,12.7807,12.84,0.1529,0.012,12.97,0.56,12.725,12.89,12.254,12.7727,12.818,0.2015,0.0158,12.988,0.734,12.666,12.936,-0.0428,0.1484,-0.0423,0.56,0.11,0.1763,15,12,4,3.0,17.0,17.0,4.7231,1,4,0.2667,0.0805,0.0667,0.1429,1.1393,1.1333,-0.8,,,1,1,,2019,2022,2020.3333,3,2010,2020,2000,d818c6a8216977f4,F,12.33,0
11.34,11.435,11.435,0.1344,0.0117,11.53,0.19,11.3875,11.4825,11.35,11.435,11.435,0.1202,0.0105,11.52,0.17,11.3925,11.4775,,,,0.19,0.0,0.0657,2,2,2,3.0,17.0,20.0,0.6911,1,1,0.5,-0.19,0.0,0.0,0.2828,0.2,-0.2,184.0,70.0,0,0,20.6758,2019,2022,2020.5,3,2010,2010,2000,d8771cb7bb9f69b6,M,10.97,1
12.06,12.3333,12.37,0.1584,0.0128,12.53,0.47,12.21,12.46,12.06,12.3433,12.37,0.1689,0.0137,12.554,0.494,12.21,12.47,-0.0536,0.1301,-0.0678,0.38,0.4,0.1105,9,7,2,3.0,16.0,19.0,2.6172,1,2,0.2222,-0.0471,0.7778,-0.75,0.495,0.0,-0.75,,,1,1,,2015,2018,2017.3333,3,2010,2010,1995,5011fd1326886067,F,12.06,0
12.15,12.285,12.26,0.1399,0.0114,12.47,0.32,12.195,12.35,12.186,12.3195,12.278,0.1663,0.0135,12.536,0.35,12.1905,12.407,0.2297,0.0545,0.2898,0.0,0.32,0.0,4,3,2,1.0,18.0,18.0,4.081,1,1,0.25,0.1,0.0,-0.575,0.6702,0.4,-0.9,176.0,57.0,0,0,18.4013,2020,2021,2020.5,1,2020,2020,2000,155bc2d58600a67b,F,12.15,1
10.78,10.9889,10.95,0.1536,0.014,11.31,0.53,10.9,11.05,10.7,10.985,10.975,0.167,0.0152,11.31,0.61,10.91,11.055,-0.0814,0.1264,-0.0402,0.12,0.15,0.0586,9,8,3,2.0,18.0,19.0,4.3947,1,1,0.1111,0.235,0.1111,0.0875,0.8919,0.825,-0.65,,,1,1,,2019,2021,2019.6667,2,2010,2010,2000,6665fd12ea3759be,M,10.78,0
11.65,11.8367,11.9,0.1317,0.0111,11.95,0.3,11.7375,11.9275,11.642,11.8237,11.888,0.1373,0.0116,11.942,0.3,11.7105,11.92,0.1999,0.1065,0.1937,0.27,0.3,0.2025,6,4,2,1.0,19.0,19.0,4.5,1,4,0.6667,-0.025,0.0,0.2167,0.4622,0.5667,-0.1333,,,1,1,,2019,2020,2019.5,1,2010,2010,2000,eb83d65c9f4c4a21,F,11.65,0
12.6,12.7243,12.75,0.0806,0.0063,12.83,0.23,12.67,12.775,12.632,12.7269,12.726,0.1013,0.008,12.914,0.282,12.642,12.766,0.0136,0.0744,0.0232,0.08,0.15,0.0257,7,6,3,3.0,16.0,19.0,2.2467,1,1,0.1429,-0.03,0.1429,-0.05,0.8264,0.45,-1.05,,,1,1,,2017,2020,2019.1429,3,2010,2010,2000,4357c6fa83ae6aae,F,12.6,0
12.43,12.5989,12.61,0.0796,0.0063,12.71,0.28,12.58,12.64,12.472,12.5909,12.606,0.0691,0.0055,12.668,0.196,12.55,12.64,0.0069,0.0741,0.0053,0.17,0.19,0.0428,9,7,4,4.0,16.0,18.0,2.2655,1,2,0.2222,-0.0464,0.1111,0.15,0.484,0.44,-0.3333,165.0,56.0,0,0,20.5693,2017,2021,2019.4444,4,2010,2020,2000,49970f54379bbfc8,F,12.43,1
12.23,12.6986,12.705,0.3441,0.0271,13.52,1.29,12.455,12.8525,12.074,12.6699,12.698,0.3783,0.0299,13.526,1.452,12.4235,12.851,-0.1101,0.3288,-0.1076,0.6,0.2,0.1842,14,13,4,3.0,16.0,19.0,4.2971,1,1,0.0714,0.2892,0.3571,0.7444,1.1215,1.0571,-0.35,164.0,43.0,0,0,15.9875,2016,2019,2018.0714,3,2010,2010,2000,0f720320757dee89,F,12.23,1
10.79,10.9314,10.95,0.0979,0.009,11.07,0.28,10.875,10.98,10.765,10.9121,10.94,0.1034,0.0095,11.025,0.26,10.85,10.9775,-0.0465,0.0855,-0.0297,0.28,0.21,0.138,7,6,3,2.0,18.0,19.0,3.4504,0,0,0.0,0.0,0.0,0.3857,0.5242,0.64,-0.25,,,1,1,,2015,2017,2015.8571,2,2010,2010,1995,10ca33e3a2c4fc34,M,10.77,0
12.37,12.418,12.4,0.0444,0.0036,12.47,0.1,12.39,12.46,12.364,12.4204,12.406,0.0492,0.004,12.482,0.118,12.39,12.46,0.0084,0.0386,0.01,0.03,0.1,0.0096,5,5,4,3.0,17.0,19.0,1.6062,1,1,0.2,-0.065,0.2,-0.05,0.1291,0.1,-0.15,,,1,1,,2017,2020,2018.2,3,2010,2010,2000,c8524c084f6a5edb,F,11.96,0
12.0,12.2,12.2,0.2828,0.0232,12.4,0.4,12.1,12.3,11.934,12.176,12.176,0.3422,0.0281,12.418,0.484,12.055,12.297,,,,0.4,0.0,1.4465,2,2,1,0.0,20.0,20.0,7.2327,1,1,0.5,0.4,0.0,0.4,0.9899,1.1,-0.3,,,1,1,,2017,2017,2017.0,0,2010,2010,1995,0b120829247d63be,F,11.95,0
11.83,12.0536,12.07,0.0866,0.0072,12.18,0.35,12.0225,12.0875,11.86,12.0707,12.062,0.0951,0.0079,12.264,0.404,12.028,12.108,0.0276,0.081,0.0255,0.2,0.28,0.0964,14,10,3,2.0,16.0,17.0,6.746,1,4,0.2857,0.0033,0.2143,-0.3636,0.6185,0.25,-0.7143,165.0,55.0,0,0,20.202,2016,2018,2017.0714,2,2010,2010,2000,f368c1de1b9e119c,F,11.83,1
12.27,12.47,12.49,0.1543,0.0124,12.77,0.5,12.345,12.58,12.266,12.488,12.49,0.1776,0.0142,12.77,0.504,12.3285,12.595,0.0165,0.1468,-0.0008,0.31,0.09,0.1463,12,11,3,2.0,16.0,18.0,5.6628,1,1,0.0833,-0.12,0.5,-0.6,1.1883,0.3,-1.5,,,1,1,,2017,2019,2017.9167,2,2010,2010,2000,134bbb663b484986,F,11.9,0
10.85,11.214,11.24,0.2332,0.0208,11.51,0.66,11.01,11.4075,10.705,11.1735,11.235,0.2818,0.0252,11.51,0.805,10.9362,11.4075,-0.1591,0.1648,-0.1729,0.66,0.33,0.2425,10,9,4,3.0,17.0,19.0,3.6745,1,1,0.1,0.4044,0.3,1.1571,1.2804,1.72,-0.5,193.0,70.0,0,0,18.7925,2018,2021,2019.2,3,2010,2010,2000,09885f25906ad916,M,10.85,1
12.35,12.929,12.605,1.1289,0.0873,16.12,3.77,12.555,12.635,12.35,12.9128,12.63,1.082,0.0838,15.964,3.614,12.468,12.6415,-0.007,1.071,0.001,0.29,0.26,0.0959,10,9,3,3.0,16.0,17.0,3.3084,1,1,0.1,0.6675,0.3,0.3857,1.4531,2.5,-0.46,,,1,1,,2018,2021,2019.1,3,2010,2010,2000,8b97e56dedc9692e,F,12.35,0
12.04,12.2562,12.19,0.1769,0.0144,12.67,0.63,12.15,12.3,12.052,12.2548,12.18,0.201,0.0164,12.706,0.654,12.102,12.306,-0.1232,0.1056,-0.1503,0.63,0.15,0.1829,13,10,3,3.0,16.0,18.0,3.7744,1,1,0.0769,0.101,0.0,0.0231,0.7865,0.76,-0.5,,,1,1,,2012,2015,2014.1538,3,2010,2010,1995,7c7600dec1f75f90,F,12.04,0
11.44,11.6336,11.65,0.1014,0.0087,11.76,0.32,11.575,11.695,11.398,11.6255,11.642,0.1028,0.0088,11.76,0.362,11.566,11.698,-0.042,0.0878,-0.0268,0.26,0.25,0.1059,11,9,2,2.0,17.0,19.0,4.4791,1,4,0.3636,0.0825,0.0,0.1364,0.6697,0.5333,-0.425,,,1,1,,2019,2021,2020.4545,2,2010,2020,2000,a10267ad2ef5b097,F,11.42,0
11.76,11.8275,11.835,0.0512,0.0043,11.88,0.12,11.805,11.8575,11.646,11.8035,11.847,0.106,0.009,11.874,0.228,11.79,11.8605,-0.4241,0.0322,-0.9897,0.06,0.0,0.3593,4,3,1,0.0,18.0,18.0,23.9508,1,3,0.75,0.07,0.0,0.4,1.0132,1.0,-0.2,,,1,1,,2019,2019,2019.0,0,2010,2010,2000,8c637b32f3e471e2,F,11.65,0
10.67,10.73,10.72,0.0606,0.0056,10.81,0.14,10.6925,10.7575,10.515,10.64,10.67,0.0865,0.0081,10.705,0.19,10.6162,10.6938,-0.0173,0.0505,0.0136,0.0,0.03,0.0,4,3,2,2.0,18.0,18.0,2.0124,0,0,0.0,0.0,0.0,1.8,1.01,1.8,0.0,,,1,1,,2017,2019,2017.5,2,2010,2010,1995,ebac919e00c346d2,M,10.35,0
