athlete_id,sex,height_cm,weight_kg,province,has_anthro,lifetime_pb,cutoff_16_group,cutoff_17_group,cutoff_18_group,cutoff_19_group,cutoff_20_group,cutoff_21_group,cutoff_22_group,cutoff_23_group,cutoff_24_group,cutoff_25_group,cutoff_26_group
61cfd8ebdc3b1137,M,173.0,66.0,P10,True,11.75,excluded,B,B,B,B,B,B,B,B,B,B
2c6cc9c12a87de88,F,153.0,41.0,P30,True,12.27,excluded,excluded,A,B,B,B,B,B,B,B,B
a59203b72bf7f77d,M,,,P15,False,11.73,excluded,excluded,excluded,B,B,B,B,B,B,B,B
dd5a61fd387718df,M,181.0,66.0,P25,True,12.02,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
c02ce7aacb50a330,F,,,,False,12.36,excluded,excluded,A,B,B,B,B,B,B,B,B
91c70db5325cddc7,M,,,P14,False,11.49,excluded,excluded,A,B,B,B,B,B,B,B,B
7293abdde068e31c,F,168.0,50.0,,True,12.81,excluded,A,A,A,A,B,B,B,B,B,B
2a4f319f7136ff41,M,,,,False,11.09,A,B,B,B,B,B,B,B,B,B,B
7301a7eef597d67e,M,173.0,58.0,P28,True,11.89,excluded,excluded,A,B,B,B,B,B,B,B,B
b5067addb6925c8d,M,,,P28,False,12.69,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
53f89d4aaccc3ca3,M,,,P12,False,11.52,excluded,excluded,A,B,B,B,B,B,B,B,B
1ed2e62b650f9191,F,,,P18,False,13.29,excluded,excluded,A,B,B,B,B,B,B,B,B
278b734f27433603,M,175.0,61.0,P30,True,10.33,excluded,excluded,excluded,excluded,A,A,A,A,B,B,B
163c0dd404d0a598,M,174.0,55.0,P25,True,11.61,A,B,B,B,B,B,B,B,B,B,B
c011b77c3d3d03b6,F,,,P17,False,13.09,A,A,B,B,B,B,B,B,B,B,B
408d939930ff3a92,M,,,,False,11.51,excluded,excluded,A,B,B,B,B,B,B,B,B
47280ea393b55d0d,F,,,,False,12.56,excluded,excluded,A,A,B,B,B,B,B,B,B
bb53cae1bc0f8696,F,,,P10,False,12.28,excluded,excluded,excluded,A,A,A,A,A,A,B,B
9d4a7128a2741aef,M,,,P04,False,11.71,excluded,excluded,B,B,B,B,B,B,B,B,B
a14069a86f4a8c40,M,,,,False,11.53,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
2ffc2601844116ab,M,,,P20,False,10.84,excluded,excluded,excluded,A,A,B,B,B,B,B,B
cb676819b07b1291,M,178.0,70.0,P10,True,10.6,excluded,excluded,excluded,A,A,A,A,B,B,B,B
d96839ddc8dd467f,M,176.0,65.0,P08,True,10.98,excluded,excluded,excluded,A,A,B,B,B,B,B,B
709a0d894c1d5d68,F,,,P06,False,13.7,A,B,B,B,B,B,B,B,B,B,B
4d993077e09f250b,M,,,P23,False,10.81,A,B,B,B,B,B,B,B,B,B,B
850b8177cb53a8d4,M,182.0,71.0,P03,True,11.46,excluded,excluded,A,B,B,B,B,B,B,B,B
fd82b1ae82cbe7b2,M,,,P12,False,12.99,excluded,excluded,excluded,A,A,B,B,B,B,B,B
d56b8c2e378be006,M,,,P10,False,11.38,excluded,excluded,A,B,B,B,B,B,B,B,B
2218aa286b2c807b,M,,,,False,11.52,excluded,excluded,A,A,B,B,B,B,B,B,B
a943b1d10a4d0b74,F,172.0,50.0,P10,True,13.17,excluded,A,A,B,B,B,B,B,B,B,B
4dd8aaf6c9374910,M,175.0,62.0,,True,11.62,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
e09dd0c794d8be3e,M,,,P28,False,12.04,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
2cbc143b20e82e70,M,,,,False,11.5,excluded,excluded,B,B,B,B,B,B,B,B,B
f44df111f50a4df5,F,,,P23,False,12.52,A,A,B,B,B,B,B,B,B,B,B
997096a020c5254a,F,172.0,57.0,P00,True,12.76,excluded,excluded,A,A,B,B,B,B,B,B,B
f969e518cd47385c,F,168.0,50.0,P10,True,13.5,A,B,B,B,B,B,B,B,B,B,B
d19e1323eb89e4b8,M,172.0,65.0,P02,True,10.72,excluded,excluded,excluded,excluded,A,B,B,B,B,B,B
f6e2207dbf7bb94b,M,,,P19,False,11.93,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
0e85be5129cb025e,F,,,P23,False,12.39,excluded,excluded,excluded,A,A,A,A,A,B,B,B
e9e14582450752a3,F,,,P20,False,13.01,A,B,B,B,B,B,B,B,B,B,B
115767bf383cb036,F,,,P20,False,12.74,excluded,excluded,A,B,B,B,B,B,B,B,B
3065630e7e28c31e,M,,,P21,False,11.64,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
e6741d997f1dd4c5,M,,,P23,False,10.9,excluded,excluded,A,B,B,B,B,B,B,B,B
84726aa33db7c7ea,M,,,P23,False,12.25,A,B,B,B,B,B,B,B,B,B,B
cb69656cec2e4693,M,,,P08,False,11.42,A,A,B,B,B,B,B,B,B,B,B
a2e8c03974432491,F,,,P12,False,12.81,A,A,B,B,B,B,B,B,B,B,B
b05bfb31cdddc5fc,F,168.0,60.0,,True,13.1,A,B,B,B,B,B,B,B,B,B,B
95e44a8dcb4d7e8e,M,180.0,68.0,,True,11.75,excluded,excluded,B,B,B,B,B,B,B,B,B
6ddef74e67d2de46,M,,,P09,False,11.38,A,B,B,B,B,B,B,B,B,B,B
2b7564dc6ed89a60,F,,,P01,False,12.42,excluded,excluded,A,A,B,B,B,B,B,B,B
36db50aa1a3796b6,M,,,,False,11.77,A,B,B,B,B,B,B,B,B,B,B
1e8874a6b5bd0f7f,F,,,,False,13.06,A,B,B,B,B,B,B,B,B,B,B
6555e60d5f981252,F,,,P28,False,12.0,excluded,excluded,excluded,excluded,excluded,A,A,A,B,B,B
c60b7b940555f114,F,175.0,52.0,P28,True,12.37,A,A,A,B,B,B,B,B,B,B,B
0b69ae6b0bfa8f6e,M,,,,False,11.15,excluded,excluded,A,B,B,B,B,B,B,B,B
19ec1b11218a7ba1,M,,,P14,False,12.31,excluded,B,B,B,B,B,B,B,B,B,B
0320a6a9a801ea29,F,165.0,53.0,P23,True,12.58,excluded,excluded,A,A,A,A,B,B,B,B,B
a8112c95c085a4c9,F,171.0,48.0,P28,True,12.95,excluded,A,A,B,B,B,B,B,B,B,B
2e0c8e69a4bc7861,F,,,P28,False,11.86,excluded,excluded,excluded,A,A,A,A,B,B,B,B
