sex,age,active_athletes,new_entries,dropouts,dropout_rate,total_athletes
Male,12,141,141,75,0.5319,48852
Male,13,712,646,384,0.5393,48852
Male,14,1914,1586,1101,0.5752,48852
Male,15,4354,3541,2175,0.4995,48852
Male,16,13962,11783,7761,0.5559,48852
Male,17,25688,19487,20780,0.8089,48852
Male,18,12512,7604,10499,0.8391,48852
Male,19,4003,1990,3017,0.7537,48852
Male,20,1822,836,1033,0.567,48852
Male,21,1364,575,813,0.596,48852
Male,22,838,287,508,0.6062,48852
Male,23,485,155,281,0.5794,48852
Male,24,281,77,164,0.5836,48852
Male,25,166,49,102,0.6145,48852
Male,26,93,29,60,0.6452,48852
Male,27,57,24,35,0.614,48852
Male,28,32,10,15,0.4688,48852
Male,29,20,3,8,0.4,48852
Male,30,20,8,15,0.75,48852
Male,31,6,1,3,0.5,48852
Male,32,6,3,3,0.5,48852
Male,33,6,3,3,0.5,48852
Male,34,5,2,1,0.2,48852
Male,35,7,3,6,0.8571,48852
Female,12,166,166,97,0.5843,6517
Female,13,549,480,290,0.5282,6517
Female,14,931,672,491,0.5274,6517
Female,15,1323,883,577,0.4361,6517
Female,16,2347,1601,1266,0.5394,6517
Female,17,2551,1470,1842,0.7221,6517
Female,18,1176,467,733,0.6233,6517
Female,19,746,303,425,0.5697,6517
Female,20,507,186,257,0.5069,6517
Female,21,383,133,210,0.5483,6517
Female,22,233,60,120,0.515,6517
Female,23,154,41,87,0.5649,6517
Female,24,81,14,45,0.5556,6517
Female,25,46,10,26,0.5652,6517
Female,26,36,16,18,0.5,6517
Female,27,23,5,14,0.6087,6517
Female,28,11,2,7,0.6364,6517
Female,29,8,4,7,0.875,6517
Female,30,2,1,1,0.5,6517
Female,31,1,0,1,1.0,6517
Female,32,0,0,0,0.0,6517
Female,33,0,0,0,0.0,6517
Female,34,0,0,0,0.0,6517
Female,35,0,0,0,0.0,6517
