cutoff_age,sex,CAA_R2,CAA_RMSE,CAA_n,WA_R2,WA_RMSE,delta_R2
16,Male,0.8709625965699523,0.1996478674289436,2559,0.04,,0.8309625965699523
16,Female,0.8620041951862585,0.276094579841308,1181,0.195,,0.6670041951862584
17,Male,0.8893112212928418,0.1526080374632191,7938,0.2,,0.6893112212928418
17,Female,0.8560552306086572,0.2724825428374206,2029,0.28,,0.5760552306086572
18,Male,0.9573239115700694,0.0826943123209415,19426,0.439,0.123,0.5183239115700693
18,Female,0.8953104420776096,0.221965490571775,2991,0.389,0.155,0.5063104420776096
19,Male,0.9781474466531946,0.0580422524467573,24713,0.5,,0.47814744665319464
19,Female,0.96603218740484,0.1250166772946122,3333,0.45,,0.5160321874048399
20,Male,0.9896993757708632,0.0401366700115816,26088,0.555,0.107,0.43469937577086315
20,Female,0.9755859187750786,0.1054524714006048,3490,0.511,0.134,0.4645859187750786
21,Male,0.9937053772461724,0.0318305013343797,26519,0.66,,0.33370537724617233
21,Female,0.9837199615534572,0.0866926819488582,3600,0.62,,0.3637199615534572
22,Male,0.9966298951660154,0.0233202667260998,26885,0.756,0.078,0.2406298951660154
22,Female,0.9901152024857406,0.0667498347006843,3670,0.727,0.1,0.2631152024857406
24,Male,0.9993097948998474,0.0106615940446478,27211,0.88,,0.11930979489984739
24,Female,0.9980031767597188,0.0303897958656026,3741,0.83,,0.16800317675971888
26,Male,0.999747547277146,0.0064556407071259,27291,0.94,,0.05974754727714604
26,Female,0.9984530458370164,0.0238325483691111,3752,0.898,,0.10045304583701642
