cutoff_age,sex,n_all,n_A,n_B,pct_A,pct_B,r2_all,r2_A_true_pred,r2_A_ci_lo,r2_A_ci_hi,r2_B_trivial,wa_r2,r2_inflation,r2_A_minus_wa,pb_sd_all,pb_sd_A,pb_sd_B,pb_sd_population,wa_pb_sd,sd_ratio_vs_wa,pct_pb_pre_in_A,pct_pb_achieved_combined,pct_career_ended_combined,wa_rmse,wa_n
16,Female,1086,383,703,35.3,64.7,0.9214,0.7234,0.5953,0.8032,0.9994,0.198,0.19799999999999995,0.5254000000000001,0.736,0.569,0.702,0.951,0.325,2.93,31.3,72.5,63.2,0.1862,454
17,Female,1877,572,1305,30.5,69.5,0.9367,0.7381,0.6475,0.7983,0.9995,0.2614,0.1986,0.47669999999999996,0.705,0.509,0.691,0.951,0.325,2.93,34.8,76.2,64.7,0.1736,831
18,Female,2802,445,2357,15.9,84.1,0.9757,0.7295,0.5588,0.8264,0.9996,0.3553,0.24619999999999997,0.37420000000000003,0.672,0.451,0.651,0.951,0.325,2.93,46.3,92.1,86.0,0.159,1245
19,Female,3142,300,2842,9.5,90.5,0.9903,0.7913,0.6508,0.8781,0.9996,0.4136,0.19899999999999995,0.3777,0.669,0.401,0.642,0.951,0.325,2.93,49.0,96.6,94.3,0.1489,1561
20,Female,3292,215,3077,6.5,93.5,0.9937,0.7697,0.608,0.8849,0.9997,0.5074,0.22399999999999998,0.2623000000000001,0.671,0.414,0.646,0.951,0.325,2.93,49.3,98.2,97.0,0.1343,1856
21,Female,3397,184,3213,5.4,94.6,0.9953,0.7767,0.5927,0.8939,0.9997,0.6188,0.21860000000000002,0.15789999999999993,0.676,0.378,0.651,0.951,0.325,2.93,54.3,98.7,97.6,0.1179,2099
22,Female,3462,127,3335,3.7,96.3,0.9974,0.8511,0.725,0.9251,0.9998,0.7246,0.14629999999999999,0.12649999999999995,0.684,0.414,0.662,0.951,0.325,2.93,55.9,99.2,98.3,0.1006,2278
23,Female,3506,93,3413,2.7,97.3,0.9977,0.8565,0.6472,0.9658,0.9998,0.7842,0.1412,0.07230000000000003,0.687,0.387,0.669,0.951,0.325,2.93,65.6,99.5,98.9,0.0891,2442
24,Female,3535,59,3476,1.7,98.3,0.999,0.8713,0.69,0.9583,0.9998,0.8346,0.12770000000000004,0.036699999999999955,0.692,0.411,0.677,0.951,0.325,2.93,61.0,99.7,99.3,0.0777,2562
25,Female,3545,32,3513,0.9,99.1,0.9994,0.7331,0.1244,0.9622,0.9998,0.8728,0.2663,-0.13970000000000005,0.692,0.392,0.683,0.951,0.325,2.93,71.9,99.9,99.6,0.0683,2658
26,Female,3548,16,3532,0.5,99.5,0.9996,,,,0.9998,0.8982,,,0.693,0.339,0.687,0.951,0.325,2.93,68.8,99.9,99.8,0.0609,2721
16,Male,2555,957,1598,37.5,62.5,0.871,0.6047,0.5274,0.6836,0.9995,0.0403,0.2663,0.5644,0.557,0.393,0.536,0.594,0.2,2.97,22.7,72.5,63.2,0.1713,184
17,Male,7935,2889,5046,36.4,63.6,0.8879,0.7343,0.7008,0.7597,0.9997,0.2698,0.15360000000000007,0.46449999999999997,0.459,0.383,0.448,0.594,0.2,2.97,31.9,76.2,64.7,0.144,712
18,Male,19423,2662,16761,13.7,86.3,0.9571,0.7983,0.7772,0.823,0.9998,0.4306,0.15879999999999994,0.3677,0.401,0.397,0.38,0.594,0.2,2.97,43.4,92.1,86.0,0.1239,1697
19,Male,24710,1300,23410,5.3,94.7,0.9781,0.7618,0.6415,0.8188,0.9999,0.47,0.21629999999999994,0.29180000000000006,0.394,0.414,0.375,0.594,0.2,2.97,39.7,96.6,94.3,0.1175,2829
20,Male,26085,670,25415,2.6,97.4,0.9898,0.6926,0.5926,0.7817,0.9999,0.5576,0.2972,0.135,0.397,0.331,0.38,0.594,0.2,2.97,35.2,98.2,97.0,0.1068,3893
21,Male,26515,523,25992,2.0,98.0,0.9937,0.7438,0.6249,0.8093,0.9999,0.6624,0.2499,0.08140000000000003,0.403,0.312,0.388,0.594,0.2,2.97,39.4,98.7,97.6,0.0927,4764
22,Male,26882,397,26485,1.5,98.5,0.9967,0.7891,0.5484,0.8739,0.9999,0.7563,0.2076,0.03280000000000005,0.408,0.322,0.396,0.594,0.2,2.97,53.4,99.2,98.3,0.0778,5516
23,Male,27095,251,26844,0.9,99.1,0.9987,0.8137,0.6477,0.8967,0.9999,0.825,0.18500000000000005,-0.011299999999999977,0.411,0.325,0.403,0.594,0.2,2.97,56.6,99.5,98.9,0.065,6101
24,Male,27208,168,27040,0.6,99.4,0.9993,0.854,0.7762,0.9153,0.9999,0.8787,0.14529999999999998,-0.024700000000000055,0.413,0.308,0.406,0.594,0.2,2.97,59.5,99.7,99.3,0.0537,6472
25,Male,27255,97,27158,0.4,99.6,0.9996,0.8749,0.7052,0.9655,0.9999,0.9119,0.12470000000000003,-0.03700000000000003,0.413,0.312,0.409,0.594,0.2,2.97,66.0,99.9,99.6,0.0455,6795
26,Male,27288,51,27237,0.2,99.8,0.9998,0.8929,0.7078,0.9691,0.9999,0.9408,0.1069,-0.04789999999999994,0.414,0.288,0.412,0.594,0.2,2.97,66.7,99.9,99.8,0.0372,6997
