province,n_athletes,median_career_span_years,mean_lifetime_pb,active_at_age_18,dropout_at_age_18,dropout_rate_age_18,n_national_level,pct_male
山东,7240,0.04,12.056,2045,1767,0.8641,15,91.7
广东,4085,0.19,11.883,1109,859,0.7746,32,90.2
福建,3544,0.06,11.883,1017,839,0.825,26,92.7
四川,2901,0.13,11.886,772,616,0.7979,25,89.1
浙江,2640,0.19,11.88,806,614,0.7618,25,86.7
重庆,1908,0.06,12.207,348,266,0.7644,19,82.1
广西,1807,0.09,12.041,412,322,0.7816,13,89.9
湖北,1472,0.32,12.15,292,212,0.726,23,81.2
湖南,1206,0.0,11.916,263,210,0.7985,12,81.9
河南,1093,0.0,11.997,308,245,0.7955,10,88.2
吉林,1056,0.23,12.578,182,123,0.6758,2,78.0
山西,1031,0.11,12.044,246,205,0.8333,1,89.8
江苏,844,0.04,11.784,277,189,0.6823,27,84.5
黑龙江,788,0.0,12.315,210,165,0.7857,13,85.9
辽宁,782,0.01,11.983,167,141,0.8443,4,86.1
北京,641,0.02,12.247,144,72,0.5,17,68.3
安徽,639,0.0,11.853,178,135,0.7584,6,85.6
江西,498,0.07,11.849,124,77,0.621,14,82.9
内蒙古,437,0.0,12.21,85,65,0.7647,3,78.3
陕西,416,0.15,11.901,105,72,0.6857,5,82.7
河北,345,0.0,12.032,71,49,0.6901,2,74.2
新疆,319,0.0,12.222,81,61,0.7531,6,73.7
甘肃,261,0.0,12.22,61,55,0.9016,0,85.8
上海,249,1.24,11.774,81,25,0.3086,32,67.1
天津,245,0.0,11.996,62,38,0.6129,12,82.9
