block,cutoff_age,sex,model,n,r2_with,r2_without,delta_mean,delta_ci_lo,delta_ci_hi,excludes_zero,marginal_ci_with,marginal_ci_without,n_repeats
C,16,Male,Ridge,187,0.4179947899529107,0.3009190033433403,0.11707578660957038,-0.18713036627783775,1.516742716800771,False,"[-1.132, 0.804]","[-2.801, 0.797]",500
C,16,Male,GradientBoosting,187,0.5565126693660105,0.5268675679371513,0.02964510142885922,-0.0640122647634219,0.12191150934364217,False,"[0.273, 0.746]","[0.218, 0.731]",500
C,16,Female,Ridge,96,0.5267786081660707,0.5681001743693651,-0.0413215662032945,-0.1696386706046292,0.009457373970869171,False,"[0.053, 0.866]","[0.129, 0.874]",500
C,16,Female,GradientBoosting,96,0.6610101909385822,0.6833851686022601,-0.022374977663677974,-0.1272886633783012,0.05071988466336753,False,"[0.298, 0.857]","[0.347, 0.865]",500
C,17,Male,Ridge,665,0.7490257147815866,0.7495313872038752,-0.0005056724222886509,-0.008890951536312655,0.0038532455637135484,False,"[0.651, 0.822]","[0.652, 0.823]",500
C,17,Male,GradientBoosting,665,0.7322380245928334,0.7325770363764715,-0.000339011783638212,-0.019541336820161213,0.018461746161367597,False,"[0.642, 0.802]","[0.643, 0.802]",500
C,17,Female,Ridge,182,0.676063069351907,0.6722991385696477,0.0037639307822592075,-0.04665197444384045,0.11299272312616801,False,"[0.129, 0.874]","[0.062, 0.876]",500
C,17,Female,GradientBoosting,182,0.6855088664615391,0.6898494510867338,-0.00434058462519464,-0.06597206379575651,0.04844169982763674,False,"[0.450, 0.836]","[0.473, 0.838]",500
C,18,Male,Ridge,592,0.7869863545344853,0.7853773930598936,0.0016089614745917885,-0.007299507906105338,0.00919537730439067,False,"[0.677, 0.858]","[0.672, 0.857]",500
C,18,Male,GradientBoosting,592,0.789637742944306,0.7912063047074067,-0.00156856176310054,-0.018153717963452724,0.013942799096729288,False,"[0.711, 0.851]","[0.710, 0.853]",500
C,18,Female,Ridge,183,0.6099081355790672,0.6184169662567163,-0.008508830677649022,-0.06470272725788377,0.02243673530988161,False,"[0.174, 0.834]","[0.198, 0.838]",500
C,18,Female,GradientBoosting,183,0.6008529905168382,0.6068427781129218,-0.005989787596083651,-0.08534426154703682,0.06517527167834986,False,"[0.269, 0.793]","[0.268, 0.794]",500
