followup_years_required,sex,age,active_athletes,dropouts,dropout_rate
0,Male,12,141,75,0.5319
0,Male,13,712,384,0.5393
0,Male,14,1914,1101,0.5752
0,Male,15,4354,2175,0.4995
0,Male,16,13962,7761,0.5559
0,Male,17,25688,20780,0.8089
0,Male,18,12512,10499,0.8391
0,Male,19,4003,3017,0.7537
0,Male,20,1822,1033,0.567
0,Male,21,1364,813,0.596
0,Male,22,838,508,0.6062
0,Male,23,485,281,0.5794
0,Male,24,281,164,0.5836
0,Male,25,166,102,0.6145
0,Male,26,93,60,0.6452
0,Male,27,57,35,0.614
0,Male,28,32,15,0.4688
0,Male,29,20,8,0.4
0,Male,30,20,15,0.75
0,Male,31,6,3,0.5
0,Male,32,6,3,0.5
0,Male,33,6,3,0.5
0,Male,34,5,1,0.2
0,Male,35,7,6,0.8571
0,Female,12,166,97,0.5843
0,Female,13,549,290,0.5282
0,Female,14,931,491,0.5274
0,Female,15,1323,577,0.4361
0,Female,16,2347,1266,0.5394
0,Female,17,2551,1842,0.7221
0,Female,18,1176,733,0.6233
0,Female,19,746,425,0.5697
0,Female,20,507,257,0.5069
0,Female,21,383,210,0.5483
0,Female,22,233,120,0.515
0,Female,23,154,87,0.5649
0,Female,24,81,45,0.5556
0,Female,25,46,26,0.5652
0,Female,26,36,18,0.5
0,Female,27,23,14,0.6087
0,Female,28,11,7,0.6364
0,Female,29,8,7,0.875
0,Female,30,2,1,0.5
0,Female,31,1,1,1.0
0,Female,32,0,0,
0,Female,33,0,0,
0,Female,34,0,0,
0,Female,35,0,0,
1,Male,12,135,69,0.5111
1,Male,13,674,346,0.5134
1,Male,14,1767,954,0.5399
1,Male,15,4061,1882,0.4634
1,Male,16,13053,6852,0.5249
1,Male,17,23703,18795,0.7929
1,Male,18,11559,9546,0.8258
1,Male,19,3607,2621,0.7266
1,Male,20,1549,760,0.4906
1,Male,21,1125,574,0.5102
1,Male,22,698,368,0.5272
1,Male,23,396,192,0.4848
1,Male,24,232,115,0.4957
1,Male,25,138,74,0.5362
1,Male,26,82,49,0.5976
1,Male,27,52,30,0.5769
1,Male,28,26,9,0.3462
1,Male,29,17,5,0.2941
1,Male,30,17,12,0.7059
1,Male,31,5,2,0.4
1,Male,32,6,3,0.5
1,Male,33,6,3,0.5
1,Male,34,4,0,0.0
1,Male,35,6,5,0.8333
1,Female,12,161,92,0.5714
1,Female,13,505,246,0.4871
1,Female,14,845,405,0.4793
1,Female,15,1201,455,0.3789
1,Female,16,2104,1023,0.4862
1,Female,17,2251,1542,0.685
1,Female,18,1089,646,0.5932
1,Female,19,684,363,0.5307
1,Female,20,462,212,0.4589
1,Female,21,347,174,0.5014
1,Female,22,208,95,0.4567
1,Female,23,135,68,0.5037
1,Female,24,75,39,0.52
1,Female,25,36,16,0.4444
1,Female,26,35,17,0.4857
1,Female,27,19,10,0.5263
1,Female,28,6,2,0.3333
1,Female,29,5,4,0.8
1,Female,30,2,1,0.5
1,Female,31,1,1,1.0
1,Female,32,0,0,
1,Female,33,0,0,
1,Female,34,0,0,
1,Female,35,0,0,
2,Male,12,114,60,0.5263
2,Male,13,505,217,0.4297
2,Male,14,1239,570,0.46
2,Male,15,2970,1149,0.3869
2,Male,16,9677,4506,0.4656
2,Male,17,16868,12675,0.7514
2,Male,18,8325,6607,0.7936
2,Male,19,2517,1711,0.6798
2,Male,20,997,365,0.3661
2,Male,21,744,298,0.4005
2,Male,22,439,178,0.4055
2,Male,23,279,111,0.3978
2,Male,24,155,64,0.4129
2,Male,25,104,47,0.4519
2,Male,26,59,30,0.5085
2,Male,27,32,14,0.4375
2,Male,28,21,7,0.3333
2,Male,29,13,4,0.3077
2,Male,30,10,6,0.6
2,Male,31,4,1,0.25
2,Male,32,5,2,0.4
2,Male,33,4,2,0.5
2,Male,34,3,0,0.0
2,Male,35,3,2,0.6667
2,Female,12,117,59,0.5043
2,Female,13,377,155,0.4111
2,Female,14,607,253,0.4168
2,Female,15,902,290,0.3215
2,Female,16,1574,704,0.4473
2,Female,17,1766,1127,0.6382
2,Female,18,873,471,0.5395
2,Female,19,551,258,0.4682
2,Female,20,375,152,0.4053
2,Female,21,258,107,0.4147
2,Female,22,168,73,0.4345
2,Female,23,104,43,0.4135
2,Female,24,52,25,0.4808
2,Female,25,33,14,0.4242
2,Female,26,29,15,0.5172
2,Female,27,14,9,0.6429
2,Female,28,4,2,0.5
2,Female,29,2,1,0.5
2,Female,30,2,1,0.5
2,Female,31,1,1,1.0
2,Female,32,0,0,
2,Female,33,0,0,
2,Female,34,0,0,
2,Female,35,0,0,
3,Male,12,64,37,0.5781
3,Male,13,299,146,0.4883
3,Male,14,653,295,0.4518
3,Male,15,1738,651,0.3746
3,Male,16,5551,2630,0.4738
3,Male,17,9027,6430,0.7123
3,Male,18,4367,3255,0.7454
3,Male,19,1159,636,0.5487
3,Male,20,622,208,0.3344
3,Male,21,446,166,0.3722
3,Male,22,279,96,0.3441
3,Male,23,181,65,0.3591
3,Male,24,103,33,0.3204
3,Male,25,71,27,0.3803
3,Male,26,37,15,0.4054
3,Male,27,23,9,0.3913
3,Male,28,14,4,0.2857
3,Male,29,8,3,0.375
3,Male,30,7,4,0.5714
3,Male,31,3,0,0.0
3,Male,32,4,2,0.5
3,Male,33,3,1,0.3333
3,Male,34,1,0,0.0
3,Male,35,2,1,0.5
3,Female,12,73,34,0.4658
3,Female,13,240,109,0.4542
3,Female,14,367,159,0.4332
3,Female,15,586,206,0.3515
3,Female,16,1125,506,0.4498
3,Female,17,1183,699,0.5909
3,Female,18,610,286,0.4689
3,Female,19,396,154,0.3889
3,Female,20,268,96,0.3582
3,Female,21,196,74,0.3776
3,Female,22,124,51,0.4113
3,Female,23,70,30,0.4286
3,Female,24,42,17,0.4048
3,Female,25,25,9,0.36
3,Female,26,14,4,0.2857
3,Female,27,11,8,0.7273
3,Female,28,3,2,0.6667
3,Female,29,2,1,0.5
3,Female,30,2,1,0.5
3,Female,31,1,1,1.0
3,Female,32,0,0,
3,Female,33,0,0,
3,Female,34,0,0,
3,Female,35,0,0,
