cutoff_age,sex,n,predictor,model,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean
16,Male,957,naive_carry_forward,none,0.09799423657557751,-0.19464100696725192,0.34932840527328424,0.3694053521192559
16,Male,957,ols_best_time_only,OLS,0.6282098156959255,0.530556415167462,0.7103232862170898,0.2376711535963515
16,Male,957,full_traj_wind,Ridge,0.6283774235635463,0.5195958955114622,0.7157000338580204,0.237463088392576
16,Male,957,full_traj_wind,GradientBoosting,0.6044464619492096,0.5017847553923652,0.6830937124374574,0.24531027334877872
16,Female,383,naive_carry_forward,none,0.5522649495933897,0.2688780248669707,0.7491254446510021,0.36882323679515455
16,Female,383,ols_best_time_only,OLS,0.7703932375794825,0.6360250999676335,0.8551875928263216,0.26497757457031945
16,Female,383,full_traj_wind,Ridge,0.7610760512558946,0.6209327685646996,0.858093231816909,0.2698478868937872
16,Female,383,full_traj_wind,GradientBoosting,0.7255748594967338,0.6060700124088753,0.8122229828460124,0.29192362415326917
17,Male,2889,naive_carry_forward,none,0.4487919889078377,0.3514895954854657,0.5353370093488395,0.2833199067771031
17,Male,2889,ols_best_time_only,OLS,0.7282594110611365,0.6859201248041896,0.7640658699084083,0.1990064042766036
17,Male,2889,full_traj_wind,Ridge,0.7420494644045353,0.7026825577172077,0.7762415082852355,0.19389237536371107
17,Male,2889,full_traj_wind,GradientBoosting,0.7372846352179817,0.6972695458885247,0.7726842595115885,0.1956817917829989
17,Female,572,naive_carry_forward,none,0.5444576362506852,0.28460554992000314,0.7281955443819759,0.33601471771536123
17,Female,572,ols_best_time_only,OLS,0.7550091444631224,0.6288964895244737,0.8384732091149908,0.247107265902987
17,Female,572,full_traj_wind,Ridge,0.7555508246716639,0.6284549692865259,0.8385821123171879,0.24680531053705146
17,Female,572,full_traj_wind,GradientBoosting,0.737002551686822,0.6294956997272506,0.8182417261419092,0.2571251380494285
18,Male,2662,naive_carry_forward,none,0.6627230468416083,0.595185619515882,0.7214884848653158,0.23012584197059013
18,Male,2662,ols_best_time_only,OLS,0.7897747320086033,0.7502858432667059,0.8237115597907839,0.18173209035823046
18,Male,2662,full_traj_wind,Ridge,0.8029167729813397,0.7637528236468936,0.8347119736262422,0.17594614677983045
18,Male,2662,full_traj_wind,GradientBoosting,0.7989745819433482,0.7629656834923784,0.8292446651889803,0.17772483357438712
18,Female,445,naive_carry_forward,none,0.6534936353484059,0.43663100114166775,0.8123731504404195,0.25921504246983934
18,Female,445,ols_best_time_only,OLS,0.7793844203463528,0.6464484238875299,0.8644475130608252,0.20739069474674862
18,Female,445,full_traj_wind,Ridge,0.7796981763046621,0.665173762650815,0.8647071348437134,0.20731117393871062
18,Female,445,full_traj_wind,GradientBoosting,0.7381151367755174,0.6157627909146245,0.8287769561010343,0.22669199085865258
