seed,fold,variant,model,r2,cutoff_age,sex,n
42,0,trajectory_only,Ridge,0.6936079914198794,16,Male,957
42,0,trajectory_only,GradientBoosting,0.644230035490389,16,Male,957
42,0,traj_wind,Ridge,0.6950529333329387,16,Male,957
42,0,traj_wind,GradientBoosting,0.6683467993208071,16,Male,957
42,0,full_no_anthro,Ridge,0.7006455098007063,16,Male,957
42,0,full_no_anthro,GradientBoosting,0.6715386885855881,16,Male,957
42,1,trajectory_only,Ridge,0.6286399572967942,16,Male,957
42,1,trajectory_only,GradientBoosting,0.5892365827539383,16,Male,957
42,1,traj_wind,Ridge,0.629600963605961,16,Male,957
42,1,traj_wind,GradientBoosting,0.5679473572016929,16,Male,957
42,1,full_no_anthro,Ridge,0.6137214328694292,16,Male,957
42,1,full_no_anthro,GradientBoosting,0.5859018642710365,16,Male,957
42,2,trajectory_only,Ridge,0.6087537481722214,16,Male,957
42,2,trajectory_only,GradientBoosting,0.5840821686235821,16,Male,957
42,2,traj_wind,Ridge,0.599599863943076,16,Male,957
42,2,traj_wind,GradientBoosting,0.5862589235821779,16,Male,957
42,2,full_no_anthro,Ridge,0.6193648176625388,16,Male,957
42,2,full_no_anthro,GradientBoosting,0.6324856491626853,16,Male,957
42,3,trajectory_only,Ridge,0.5855472373380373,16,Male,957
42,3,trajectory_only,GradientBoosting,0.533618836153932,16,Male,957
42,3,traj_wind,Ridge,0.5943766060189309,16,Male,957
42,3,traj_wind,GradientBoosting,0.5786073251233421,16,Male,957
42,3,full_no_anthro,Ridge,0.6324300260121891,16,Male,957
42,3,full_no_anthro,GradientBoosting,0.5947134789137096,16,Male,957
42,4,trajectory_only,Ridge,0.665968746773502,16,Male,957
42,4,trajectory_only,GradientBoosting,0.6475570529204311,16,Male,957
42,4,traj_wind,Ridge,0.6772519599677096,16,Male,957
42,4,traj_wind,GradientBoosting,0.6472339881203892,16,Male,957
42,4,full_no_anthro,Ridge,0.7175427655957451,16,Male,957
42,4,full_no_anthro,GradientBoosting,0.6906404547750005,16,Male,957
43,0,trajectory_only,Ridge,0.5866497104689576,16,Male,957
43,0,trajectory_only,GradientBoosting,0.5307016224265972,16,Male,957
43,0,traj_wind,Ridge,0.5791954389911447,16,Male,957
43,0,traj_wind,GradientBoosting,0.537594290930804,16,Male,957
43,0,full_no_anthro,Ridge,0.5775444663569863,16,Male,957
43,0,full_no_anthro,GradientBoosting,0.5410955073167305,16,Male,957
43,1,trajectory_only,Ridge,0.6454620459321329,16,Male,957
43,1,trajectory_only,GradientBoosting,0.6150413309077205,16,Male,957
43,1,traj_wind,Ridge,0.6402861922538146,16,Male,957
43,1,traj_wind,GradientBoosting,0.6324928977825073,16,Male,957
43,1,full_no_anthro,Ridge,0.6763377959722592,16,Male,957
43,1,full_no_anthro,GradientBoosting,0.6621742684394103,16,Male,957
43,2,trajectory_only,Ridge,0.6264706271870973,16,Male,957
43,2,trajectory_only,GradientBoosting,0.6535897056868236,16,Male,957
43,2,traj_wind,Ridge,0.6242604913432738,16,Male,957
43,2,traj_wind,GradientBoosting,0.6693123756886981,16,Male,957
43,2,full_no_anthro,Ridge,0.6405933020322435,16,Male,957
