block,cutoff_age,sex,outcome,model,n,pct_of_group_a,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean,n_repeats
A,16,Male,pb_lifetime,Ridge,958,100.0,0.6280963715204437,0.5204418141162135,0.7160503904181089,0.23753266479143176,500
A,16,Male,pb_lifetime,GradientBoosting,958,100.0,0.6056685580878981,0.5014381010034188,0.6869393868527125,0.24493316421143457,500
A,16,Male,pb_post_cutoff,Ridge,958,100.0,0.38808860574091014,0.17091524895783589,0.575609668867845,0.3702447723712415,500
A,16,Male,pb_post_cutoff,GradientBoosting,958,100.0,0.30485254856441935,0.06168580729816029,0.5051205541903877,0.39330786264178313,500
A,16,Male,improvement_2y,Ridge,945,98.6,0.06567199905672953,-0.12517575192712216,0.20037141349980586,0.34838899804892137,500
A,16,Male,improvement_2y,GradientBoosting,945,98.6,-0.04313887824030004,-0.4152596389318083,0.14735253406852397,0.36541042331507617,500
A,16,Female,pb_lifetime,Ridge,452,100.0,0.5699518295280276,0.321091336575673,0.718078226449086,0.3893179120286717,500
A,16,Female,pb_lifetime,GradientBoosting,452,100.0,0.6277870136741567,0.45524402294649086,0.7508677243739434,0.36416866713855617,500
A,16,Female,pb_post_cutoff,Ridge,452,100.0,0.20176703583273933,-0.5133081257580698,0.5010660325029934,0.8741955317897316,500
A,16,Female,pb_post_cutoff,GradientBoosting,452,100.0,0.23263730767141005,-0.20820885967736769,0.5096965941056323,0.8646593927518874,500
A,16,Female,improvement_2y,Ridge,427,94.5,0.06806156574248777,-0.563976903901098,0.40828323085745155,0.8803722098540602,500
A,16,Female,improvement_2y,GradientBoosting,427,94.5,0.0027660242245750775,-0.6280880983796495,0.3664794960564601,0.9120315024525982,500
A,17,Male,pb_lifetime,Ridge,2889,100.0,0.7420494644045353,0.7026825577172076,0.7762415082852356,0.19389237536371107,500
A,17,Male,pb_lifetime,GradientBoosting,2889,100.0,0.7372825290325808,0.6972713636781143,0.772563903637996,0.1956824776973394,500
A,17,Male,pb_post_cutoff,Ridge,2889,100.0,0.3644908648538799,0.22146238014595374,0.5523889319978402,0.4348958501202863,500
A,17,Male,pb_post_cutoff,GradientBoosting,2889,100.0,0.3207789961596365,0.1942805821680422,0.49024776183113533,0.44902048998137345,500
A,17,Male,improvement_2y,Ridge,2865,99.2,0.03455125605674277,-0.006642369255707042,0.09726358506828128,0.43999343940829505,500
A,17,Male,improvement_2y,GradientBoosting,2865,99.2,-0.061058860579828546,-0.24651677188753268,0.03283354178099394,0.45914254630431234,500
A,17,Female,pb_lifetime,Ridge,664,100.0,0.4608214383538516,0.21816565688053682,0.6078917373433698,0.40077641322770396,500
A,17,Female,pb_lifetime,GradientBoosting,664,100.0,0.6095348106947543,0.43997157554345584,0.7307448619246901,0.34173125106630386,500
A,17,Female,pb_post_cutoff,Ridge,664,100.0,0.22187353828397063,-0.1445996828628433,0.4440988388915646,0.8239900238060492,500
A,17,Female,pb_post_cutoff,GradientBoosting,664,100.0,0.2541682914897626,-0.019273662708886242,0.4626773304553367,0.8085459335867121,500
A,17,Female,improvement_2y,Ridge,637,95.9,0.16487958918241005,-0.30530073744785124,0.4408488662297027,0.7976014014969566,500
A,17,Female,improvement_2y,GradientBoosting,637,95.9,0.17857762249353173,-0.22273073836783283,0.46004942714909747,0.7901937294409002,500
A,18,Male,pb_lifetime,Ridge,2662,100.0,0.8029167729813397,0.7637528236468936,0.8347119736262423,0.17594614677983042,500
A,18,Male,pb_lifetime,GradientBoosting,2662,100.0,0.7989744952239509,0.7629686900856982,0.8293265336063579,0.17772488718866217,500
A,18,Male,pb_post_cutoff,Ridge,2662,100.0,0.4538831645768668,0.24760991174178879,0.63213881029414,0.39367437574565045,500
A,18,Male,pb_post_cutoff,GradientBoosting,2662,100.0,0.3961095507054234,0.22648258140332914,0.5752918406734954,0.4132483996612343,500
A,18,Male,improvement_2y,Ridge,2610,98.0,0.041124675718342676,-0.01529304306028456,0.11439214104351733,0.38968720964730835,500
A,18,Male,improvement_2y,GradientBoosting,2610,98.0,-0.054893948735873756,-0.2844038977327969,0.043756110007657285,0.4061555280899637,500
A,18,Female,pb_lifetime,Ridge,522,100.0,0.2838749108157772,-0.8368972606542991,0.6102163702512483,0.407195477193147,500
A,18,Female,pb_lifetime,GradientBoosting,522,100.0,0.644032792316718,0.4434841216050294,0.7765361972905708,0.29321111800419947,500
A,18,Female,pb_post_cutoff,Ridge,522,100.0,-0.07804399109088216,-1.8979623709174054,0.3377941288323734,0.8446069979365358,500
A,18,Female,pb_post_cutoff,GradientBoosting,522,100.0,0.23939930574903587,-0.09342176807062558,0.46878260615294737,0.7264201635252986,500
A,18,Female,improvement_2y,Ridge,486,93.1,-0.3022413108845519,-2.7540055546089732,0.297067480547076,0.8645692760503553,500
A,18,Female,improvement_2y,GradientBoosting,486,93.1,0.14738912228015816,-0.2525146806189933,0.43739211277795315,0.7244007302689466,500
