mode,scenario,sample,cutoff_age,sex,model,n,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean,n_repeats
hurdles,baseline,full,16,Male,Ridge,958,0.6280963715204437,0.5204418141162135,0.7160503904181089,0.23753266479143176,500
hurdles,baseline,full,16,Male,GradientBoosting,958,0.6056685580878981,0.5014381010034188,0.6869393868527125,0.24493316421143457,500
hurdles,baseline,matched,16,Male,Ridge,958,0.6280963715204437,0.5204418141162135,0.7160503904181089,0.23753266479143176,500
hurdles,baseline,matched,16,Male,GradientBoosting,958,0.6056685580878981,0.5014381010034188,0.6869393868527125,0.24493316421143457,500
hurdles,no_hurdles,full,16,Male,Ridge,958,0.6281234800009117,0.5201361397958206,0.7165179211561001,0.2375250203389153,500
hurdles,no_hurdles,full,16,Male,GradientBoosting,958,0.6048644384122407,0.5013946962062985,0.6875368320549342,0.2451730545103566,500
hurdles,no_hurdles,matched,16,Male,Ridge,958,0.6281234800009117,0.5201361397958206,0.7165179211561001,0.2375250203389153,500
hurdles,no_hurdles,matched,16,Male,GradientBoosting,958,0.6048644384122407,0.5013946962062985,0.6875368320549342,0.2451730545103566,500
hurdles,baseline,full,16,Female,Ridge,452,0.5699518295280276,0.321091336575673,0.718078226449086,0.3893179120286717,500
hurdles,baseline,full,16,Female,GradientBoosting,452,0.6277870136741567,0.45524402294649086,0.7508677243739434,0.36416866713855617,500
hurdles,baseline,matched,16,Female,Ridge,424,0.7793971518021632,0.6536333420883732,0.8666227194083533,0.2721394857059164,500
hurdles,baseline,matched,16,Female,GradientBoosting,424,0.7634085272240777,0.6588422392194875,0.8413144887267697,0.2834615591176835,500
hurdles,no_hurdles,full,16,Female,Ridge,424,0.7801857659729488,0.6600079957103748,0.8675172925072268,0.27348891960117344,500
hurdles,no_hurdles,full,16,Female,GradientBoosting,424,0.7366506125352588,0.6169371410397213,0.8248614226700307,0.30080145553511045,500
hurdles,no_hurdles,matched,16,Female,Ridge,424,0.7801857659729488,0.6600079957103748,0.8675172925072268,0.27348891960117344,500
hurdles,no_hurdles,matched,16,Female,GradientBoosting,424,0.7366506125352588,0.6169371410397213,0.8248614226700307,0.30080145553511045,500
hurdles,baseline,full,17,Male,Ridge,2889,0.7420494644045353,0.7026825577172076,0.7762415082852356,0.19389237536371107,500
hurdles,baseline,full,17,Male,GradientBoosting,2889,0.7372825290325808,0.6972713636781143,0.772563903637996,0.1956824776973394,500
hurdles,baseline,matched,17,Male,Ridge,2889,0.7420494644045353,0.7026825577172076,0.7762415082852356,0.19389237536371107,500
hurdles,baseline,matched,17,Male,GradientBoosting,2889,0.7372825290325808,0.6972713636781143,0.772563903637996,0.1956824776973394,500
hurdles,no_hurdles,full,17,Male,Ridge,2889,0.7420494644045353,0.7026825577172076,0.7762415082852356,0.19389237536371107,500
hurdles,no_hurdles,full,17,Male,GradientBoosting,2889,0.7372825290325808,0.6972713636781143,0.772563903637996,0.1956824776973394,500
hurdles,no_hurdles,matched,17,Male,Ridge,2889,0.7420494644045353,0.7026825577172076,0.7762415082852356,0.19389237536371107,500
hurdles,no_hurdles,matched,17,Male,GradientBoosting,2889,0.7372825290325808,0.6972713636781143,0.772563903637996,0.1956824776973394,500
hurdles,baseline,full,17,Female,Ridge,664,0.4608214383538516,0.21816565688053682,0.6078917373433698,0.40077641322770396,500
hurdles,baseline,full,17,Female,GradientBoosting,664,0.6095348106947543,0.43997157554345584,0.7307448619246901,0.34173125106630386,500
hurdles,baseline,matched,17,Female,Ridge,628,0.7545528705356443,0.5680201829612057,0.8523451677194791,0.2640512115006141,500
hurdles,baseline,matched,17,Female,GradientBoosting,628,0.75757764400649,0.6568721835049203,0.8293563772871387,0.26461951792790644,500
hurdles,no_hurdles,full,17,Female,Ridge,628,0.7742859957157775,0.667479402822771,0.8489761365588016,0.25522229498727994,500
hurdles,no_hurdles,full,17,Female,GradientBoosting,628,0.7496761410871788,0.6406898863849944,0.8251190840026471,0.26928819421428796,500
hurdles,no_hurdles,matched,17,Female,Ridge,628,0.7742859957157775,0.667479402822771,0.8489761365588016,0.25522229498727994,500
hurdles,no_hurdles,matched,17,Female,GradientBoosting,628,0.7496761410871788,0.6406898863849944,0.8251190840026471,0.26928819421428796,500
hurdles,baseline,full,18,Male,Ridge,2662,0.8029167729813397,0.7637528236468936,0.8347119736262423,0.17594614677983042,500
hurdles,baseline,full,18,Male,GradientBoosting,2662,0.7989744952239509,0.7629686900856982,0.8293265336063579,0.17772488718866217,500
hurdles,baseline,matched,18,Male,Ridge,2662,0.8029167729813397,0.7637528236468936,0.8347119736262423,0.17594614677983042,500
hurdles,baseline,matched,18,Male,GradientBoosting,2662,0.7989744952239509,0.7629686900856982,0.8293265336063579,0.17772488718866217,500
hurdles,no_hurdles,full,18,Male,Ridge,2662,0.8029167729813397,0.7637528236468936,0.8347119736262423,0.17594614677983042,500
hurdles,no_hurdles,full,18,Male,GradientBoosting,2662,0.7989744952239509,0.7629686900856982,0.8293265336063579,0.17772488718866217,500
hurdles,no_hurdles,matched,18,Male,Ridge,2662,0.8029167729813397,0.7637528236468936,0.8347119736262423,0.17594614677983042,500
hurdles,no_hurdles,matched,18,Male,GradientBoosting,2662,0.7989744952239509,0.7629686900856982,0.8293265336063579,0.17772488718866217,500
hurdles,baseline,full,18,Female,Ridge,522,0.2838749108157772,-0.8368972606542991,0.6102163702512483,0.407195477193147,500
hurdles,baseline,full,18,Female,GradientBoosting,522,0.644032792316718,0.4434841216050294,0.7765361972905708,0.29321111800419947,500
hurdles,baseline,matched,18,Female,Ridge,487,0.7830783050989985,0.5457175854113754,0.879872011944096,0.21726907780848323,500
hurdles,baseline,matched,18,Female,GradientBoosting,487,0.774057682985305,0.6698182280690115,0.8501516460122168,0.2248899307894264,500
hurdles,no_hurdles,full,18,Female,Ridge,487,0.8024188982562718,0.6927395279015048,0.8780483767796796,0.21074978602331013,500
hurdles,no_hurdles,full,18,Female,GradientBoosting,487,0.7691755049231334,0.6590693124574217,0.8465773143701235,0.22839463274718383,500
