mode,scenario,sample,cutoff_age,sex,model,n,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean,n_repeats
wind,baseline,full,16,Male,Ridge,957,0.6283774235635463,0.5195958955114622,0.7157000338580204,0.237463088392576,500
wind,baseline,full,16,Male,GradientBoosting,957,0.6044464619492096,0.5017847553923652,0.6830937124374574,0.24531027334877872,500
wind,baseline,matched,16,Male,Ridge,955,0.6290980306772143,0.5238893841434575,0.7171621810564075,0.23720899071571708,500
wind,baseline,matched,16,Male,GradientBoosting,955,0.6044672949277163,0.5026972434737019,0.6850637490666557,0.24528516524050473,500
wind,pb_wind_corrected,full,16,Male,Ridge,956,0.6296773594737642,0.5184473524248632,0.7131218420030203,0.24877198272666118,500
wind,pb_wind_corrected,full,16,Male,GradientBoosting,956,0.6114753698754171,0.5063156976394733,0.687794544008675,0.25511065685809226,500
wind,pb_wind_corrected,matched,16,Male,Ridge,955,0.6292554829203224,0.528008729099487,0.7158780624385912,0.24900079968204,500
wind,pb_wind_corrected,matched,16,Male,GradientBoosting,955,0.6111017687858818,0.5116719720258568,0.6889361655008084,0.25531078045745614,500
wind,pb_legal_wind_only,full,16,Male,Ridge,955,0.6229144419020818,0.5141803541864247,0.7108069573429138,0.2432354657113476,500
wind,pb_legal_wind_only,full,16,Male,GradientBoosting,955,0.6051502715272494,0.5014760720663886,0.6858369010765555,0.24919379794999885,500
wind,pb_legal_wind_only,matched,16,Male,Ridge,955,0.6229144419020818,0.5141803541864247,0.7108069573429138,0.2432354657113476,500
wind,pb_legal_wind_only,matched,16,Male,GradientBoosting,955,0.6051502715272494,0.5014760720663886,0.6858369010765555,0.24919379794999885,500
wind,baseline,full,16,Female,Ridge,383,0.7610760512558946,0.6209327685646996,0.858093231816909,0.2698478868937872,500
wind,baseline,full,16,Female,GradientBoosting,383,0.7255748594967338,0.6060700124088753,0.8122229828460124,0.29192362415326917,500
wind,baseline,matched,16,Female,Ridge,383,0.7610760512558946,0.6209327685646996,0.858093231816909,0.2698478868937872,500
wind,baseline,matched,16,Female,GradientBoosting,383,0.7255748594967338,0.6060700124088753,0.8122229828460124,0.29192362415326917,500
wind,pb_wind_corrected,full,16,Female,Ridge,383,0.7447857793221684,0.603923391595553,0.8462699464745868,0.29119595957946187,500
wind,pb_wind_corrected,full,16,Female,GradientBoosting,383,0.7123929229725511,0.5823594453760995,0.806341621213501,0.31122943712380113,500
wind,pb_wind_corrected,matched,16,Female,Ridge,383,0.7447857793221684,0.603923391595553,0.8462699464745868,0.29119595957946187,500
wind,pb_wind_corrected,matched,16,Female,GradientBoosting,383,0.7123929229725511,0.5823594453760995,0.806341621213501,0.31122943712380113,500
wind,pb_legal_wind_only,full,16,Female,Ridge,383,0.7506778165294143,0.604167182091374,0.8508514876832762,0.2773046989805067,500
wind,pb_legal_wind_only,full,16,Female,GradientBoosting,383,0.7164877581485444,0.5975144001590444,0.8069988955113423,0.2984693073344023,500
wind,pb_legal_wind_only,matched,16,Female,Ridge,383,0.7506778165294143,0.604167182091374,0.8508514876832762,0.2773046989805067,500
wind,pb_legal_wind_only,matched,16,Female,GradientBoosting,383,0.7164877581485444,0.5975144001590444,0.8069988955113423,0.2984693073344023,500
wind,baseline,full,17,Male,Ridge,2889,0.7420494644045353,0.7026825577172077,0.7762415082852355,0.19389237536371107,500
wind,baseline,full,17,Male,GradientBoosting,2889,0.7372846352179817,0.6972695458885247,0.7726842595115885,0.1956817917829989,500
wind,baseline,matched,17,Male,Ridge,2885,0.742209073577156,0.7027542444518596,0.7767055175596834,0.19395851137693657,500
wind,baseline,matched,17,Male,GradientBoosting,2885,0.7374646319272024,0.6973459328371563,0.7725280552674711,0.19574239344119446,500
wind,pb_wind_corrected,full,17,Male,Ridge,2887,0.7253074636863445,0.6816983692625299,0.7625015952010409,0.21025054255525874,500
wind,pb_wind_corrected,full,17,Male,GradientBoosting,2887,0.7207019750668237,0.6780788635320902,0.7590294731020011,0.21201473584729702,500
wind,pb_wind_corrected,matched,17,Male,Ridge,2885,0.7254407623805372,0.6839187923569126,0.7635924959865756,0.21028597274712338,500
wind,pb_wind_corrected,matched,17,Male,GradientBoosting,2885,0.7206238375515303,0.6779294680719249,0.7596504050444031,0.21212833773873008,500
wind,pb_legal_wind_only,full,17,Male,Ridge,2885,0.7284335124599853,0.6872356046211056,0.7645033231730668,0.20176258775464645,500
wind,pb_legal_wind_only,full,17,Male,GradientBoosting,2885,0.7238356527256237,0.6796467079314268,0.7611488651017451,0.20346887277184839,500
wind,pb_legal_wind_only,matched,17,Male,Ridge,2885,0.7284335124599853,0.6872356046211056,0.7645033231730668,0.20176258775464645,500
wind,pb_legal_wind_only,matched,17,Male,GradientBoosting,2885,0.7238356527256237,0.6796467079314268,0.7611488651017451,0.20346887277184839,500
wind,baseline,full,17,Female,Ridge,572,0.7555508246716639,0.6284549692865259,0.8385821123171879,0.24680531053705146,500
wind,baseline,full,17,Female,GradientBoosting,572,0.737002551686822,0.6294956997272506,0.8182417261419092,0.2571251380494285,500
wind,baseline,matched,17,Female,Ridge,572,0.7555508246716639,0.6284549692865259,0.8385821123171879,0.24680531053705146,500
wind,baseline,matched,17,Female,GradientBoosting,572,0.737002551686822,0.6294956997272506,0.8182417261419092,0.2571251380494285,500
wind,pb_wind_corrected,full,17,Female,Ridge,572,0.7361889065353906,0.6039857200299931,0.8249695586247653,0.26796003569987015,500
wind,pb_wind_corrected,full,17,Female,GradientBoosting,572,0.7137094401148532,0.602881805509818,0.7999998779103147,0.2802582386796942,500
wind,pb_wind_corrected,matched,17,Female,Ridge,572,0.7361889065353906,0.6039857200299931,0.8249695586247653,0.26796003569987015,500
wind,pb_wind_corrected,matched,17,Female,GradientBoosting,572,0.7137094401148532,0.602881805509818,0.7999998779103147,0.2802582386796942,500
wind,pb_legal_wind_only,full,17,Female,Ridge,572,0.7435995559661928,0.6089942435883424,0.8305670913318213,0.2548661979484862,500
wind,pb_legal_wind_only,full,17,Female,GradientBoosting,572,0.726394045800342,0.6141974079939788,0.8071281405572822,0.26445469206571326,500
wind,pb_legal_wind_only,matched,17,Female,Ridge,572,0.7435995559661928,0.6089942435883424,0.8305670913318213,0.2548661979484862,500
wind,pb_legal_wind_only,matched,17,Female,GradientBoosting,572,0.726394045800342,0.6141974079939788,0.8071281405572822,0.26445469206571326,500
wind,baseline,full,18,Male,Ridge,2662,0.8029167729813397,0.7637528236468936,0.8347119736262422,0.17594614677983045,500
wind,baseline,full,18,Male,GradientBoosting,2662,0.7989745819433482,0.7629656834923784,0.8292446651889803,0.17772483357438712,500
wind,baseline,matched,18,Male,Ridge,2660,0.8029839936738569,0.7641534836165049,0.834418848583243,0.17599299120048686,500
wind,baseline,matched,18,Male,GradientBoosting,2660,0.7991340438380644,0.7650591710993792,0.8300340254677647,0.1777313875093183,500
wind,pb_wind_corrected,full,18,Male,Ridge,2661,0.7788903670826245,0.737030953940185,0.8140392298257902,0.19418191586462363,500
wind,pb_wind_corrected,full,18,Male,GradientBoosting,2661,0.7768542245235754,0.7395372909682032,0.8096909782653421,0.1951053649816466,500
wind,pb_wind_corrected,matched,18,Male,Ridge,2660,0.7789473248422693,0.738095860622564,0.813806011838145,0.19419047417911478,500
wind,pb_wind_corrected,matched,18,Male,GradientBoosting,2660,0.776914288470465,0.7400533993277782,0.8104019827468565,0.1951151741893015,500
wind,pb_legal_wind_only,full,18,Male,Ridge,2660,0.7872849889530731,0.749736790479302,0.8195977839499824,0.18513255021815544,500
wind,pb_legal_wind_only,full,18,Male,GradientBoosting,2660,0.786491597050216,0.752207688186261,0.8187931581229188,0.18549854402390134,500
wind,pb_legal_wind_only,matched,18,Male,Ridge,2660,0.7872849889530731,0.749736790479302,0.8195977839499824,0.18513255021815544,500
wind,pb_legal_wind_only,matched,18,Male,GradientBoosting,2660,0.786491597050216,0.752207688186261,0.8187931581229188,0.18549854402390134,500
