cutoff,sex,definition,n,R2,ci_lo,ci_hi
16,M,baseline_ge1rec,957,0.604,0.502,0.683
16,M,followup_ge1yr,429,0.498,0.307,0.636
16,M,followup_ge2yr,95,0.091,-0.957,0.529
16,M,groupA_ge2recs,681,0.593,0.457,0.689
16,F,baseline_ge1rec,383,0.726,0.606,0.812
16,F,followup_ge1yr,187,0.574,0.279,0.748
16,F,followup_ge2yr,58,0.108,-1.484,0.754
16,F,groupA_ge2recs,293,0.652,0.47,0.772
17,M,baseline_ge1rec,2889,0.737,0.697,0.773
17,M,followup_ge1yr,653,0.653,0.552,0.73
17,M,followup_ge2yr,158,0.52,0.203,0.717
17,M,groupA_ge2recs,1856,0.722,0.672,0.765
17,F,baseline_ge1rec,572,0.737,0.629,0.818
17,F,followup_ge1yr,201,0.448,0.087,0.668
17,F,followup_ge2yr,97,0.318,-0.312,0.678
17,F,groupA_ge2recs,429,0.676,0.518,0.784
18,M,baseline_ge1rec,2662,0.799,0.763,0.829
18,M,followup_ge1yr,579,0.623,0.501,0.719
18,M,followup_ge2yr,201,0.377,-0.014,0.622
18,M,groupA_ge2recs,1384,0.766,0.715,0.809
18,F,baseline_ge1rec,445,0.738,0.616,0.829
18,F,followup_ge1yr,196,0.542,0.262,0.721
18,F,followup_ge2yr,105,0.429,-0.105,0.725
18,F,groupA_ge2recs,292,0.662,0.469,0.795
