cutoff_age,sex,variant,model,cv_strategy,n_samples,n_features,n_repeats,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,MAE_mean,tag,n_groups
16,Male,trajectory_only,Ridge,random,957,26,500.0,0.6278916954338792,0.5199043533030476,0.7132546127530295,0.05008077978837624,0.23764276942493706,0.19152353623294613,primary,
16,Male,trajectory_only,RandomForest,random,957,26,500.0,0.5980051313872072,0.5019460977929601,0.6718719501264696,0.043332264514352285,0.24758450593859244,0.19576891300410537,primary,
16,Male,trajectory_only,GradientBoosting,random,957,26,500.0,0.6024098106627969,0.4892529508949439,0.6849321933932141,0.04957225399391158,0.24586493270203788,0.19580866997985863,primary,
16,Male,traj_wind,Ridge,random,957,40,500.0,0.6283774235635463,0.5195958955114622,0.7157000338580204,0.050636226633291016,0.237463088392576,0.19086806505710519,primary,
16,Male,traj_wind,RandomForest,random,957,40,500.0,0.5982767500486174,0.4984852720985218,0.6743369299828939,0.04481301407782173,0.2474624390166251,0.1955025600847152,primary,
16,Male,traj_wind,GradientBoosting,random,957,40,500.0,0.6044464619492096,0.5017847553923652,0.6830937124374574,0.047415003220331736,0.24531027334877872,0.19499747138351622,primary,
16,Male,full_no_anthro,Ridge,random,957,47,500.0,0.6470396129620919,0.5369884529761877,0.7318971100376948,0.05009948929514069,0.2313611927019636,0.18310694499002922,primary,
16,Male,full_no_anthro,RandomForest,random,957,47,500.0,0.6188858478727468,0.5251206644466563,0.6913709687047022,0.042031240870612115,0.2410691909637826,0.1889176667099135,primary,
16,Male,full_no_anthro,GradientBoosting,random,957,47,500.0,0.6233503526248207,0.5222291573078738,0.6994213750232627,0.04599675006499728,0.23934346295202785,0.18884741714474126,primary,
16,Female,trajectory_only,Ridge,random,383,26,500.0,0.7710894077354221,0.6417342799684996,0.8618869944712358,0.057618708658492196,0.2643062797706164,0.2106553840369923,primary,
16,Female,trajectory_only,RandomForest,random,383,26,500.0,0.741706835087894,0.637164102891938,0.8320639982018824,0.05207263051321674,0.2840308601139548,0.21636367351086577,primary,
16,Female,trajectory_only,GradientBoosting,random,383,26,500.0,0.7270576632866596,0.6083109952987518,0.8135203008767454,0.05242982351999066,0.2910037048949279,0.22442567169520936,primary,
16,Female,traj_wind,Ridge,random,383,40,500.0,0.7610760512558946,0.6209327685646996,0.858093231816909,0.06223407815684219,0.2698478868937872,0.21400637086873134,primary,
16,Female,traj_wind,RandomForest,random,383,40,500.0,0.7498586223113085,0.6386947989993799,0.8384263114191033,0.05212767316509455,0.2792252491293302,0.21265684649919223,primary,
16,Female,traj_wind,GradientBoosting,random,383,40,500.0,0.7255748594967338,0.6060700124088753,0.8122229828460124,0.051997678916381726,0.29192362415326917,0.2245468890514127,primary,
16,Female,full_no_anthro,Ridge,random,383,47,500.0,0.7695584928551287,0.6402587764840415,0.8627043487752029,0.05934562075183898,0.26503065521644226,0.20968124627659335,primary,
16,Female,full_no_anthro,RandomForest,random,383,47,500.0,0.7512045730306315,0.6439824489065381,0.8394960396756959,0.05165332619279555,0.2785744939547828,0.21180665963694,primary,
16,Female,full_no_anthro,GradientBoosting,random,383,47,500.0,0.7376098736455606,0.6252334166812776,0.8205542602075884,0.04962722571587235,0.2854922138535352,0.2197258463150664,primary,
17,Male,trajectory_only,Ridge,random,2889,26,500.0,0.7415343862696676,0.7018432232472422,0.7750947438084155,0.018950514550739386,0.19408679314163793,0.15657457768964797,primary,
17,Male,trajectory_only,RandomForest,random,2889,26,500.0,0.7315795371966493,0.6909000732866314,0.7659798533323745,0.019069801646347778,0.19780709930822793,0.1577965794458108,primary,
17,Male,trajectory_only,GradientBoosting,random,2889,26,500.0,0.737500522374834,0.69802555828976,0.7712015275360578,0.019164939566768843,0.19560033820548797,0.1563408342789094,primary,
17,Male,traj_wind,Ridge,random,2889,40,500.0,0.7420494644045353,0.7026825577172077,0.7762415082852355,0.018936040072681994,0.19389237536371107,0.15626178479062325,primary,
17,Male,traj_wind,RandomForest,random,2889,40,500.0,0.7343005792920437,0.6939323647182875,0.7683042964353244,0.019208329094204273,0.19679558919153348,0.15734282363833962,primary,
17,Male,traj_wind,GradientBoosting,random,2889,40,500.0,0.7372846352179817,0.6972695458885247,0.7726842595115885,0.019223924987635314,0.1956817917829989,0.15656023019143792,primary,
17,Male,full_no_anthro,Ridge,random,2889,47,500.0,0.7522276038772572,0.7153140291795557,0.7841254950119855,0.018133826930527685,0.19002779686833404,0.15273539530145344,primary,
17,Male,full_no_anthro,RandomForest,random,2889,47,500.0,0.7435648107253788,0.7044702832906581,0.7764821633214929,0.018498241638658288,0.1933348864057412,0.15468268338833596,primary,
17,Male,full_no_anthro,GradientBoosting,random,2889,47,500.0,0.7485931993524552,0.7099304973909959,0.7815617987031114,0.01836992566111556,0.1914227956033145,0.15271897771015883,primary,
17,Female,trajectory_only,Ridge,random,572,26,500.0,0.7586434850298641,0.6365894642258236,0.8424215158195658,0.05301891824236805,0.2452663109113285,0.19112884078869316,primary,
17,Female,trajectory_only,RandomForest,random,572,26,500.0,0.7278435749490826,0.6090918877371417,0.8107239144156528,0.05223255801626117,0.26186114425885604,0.1963741308207552,primary,
17,Female,trajectory_only,GradientBoosting,random,572,26,500.0,0.7341028939789874,0.6282801787615709,0.8150520716932136,0.04837976286505086,0.2586065161650814,0.19570407331298062,primary,
17,Female,traj_wind,Ridge,random,572,40,500.0,0.7555508246716639,0.6284549692865259,0.8385821123171879,0.0540457826668086,0.24680531053705146,0.19128237365570808,primary,
17,Female,traj_wind,RandomForest,random,572,40,500.0,0.7270793673595879,0.5991968104122707,0.8135571105933473,0.05484924118933561,0.26193988736129675,0.19769625263093413,primary,
17,Female,traj_wind,GradientBoosting,random,572,40,500.0,0.737002551686822,0.6294956997272506,0.8182417261419092,0.0489453487810463,0.2571251380494285,0.19549522470630606,primary,
17,Female,full_no_anthro,Ridge,random,572,47,500.0,0.7561697060045113,0.6257433948129851,0.8386223022705434,0.05347875398216182,0.24655941677026613,0.19088526427949531,primary,
17,Female,full_no_anthro,RandomForest,random,572,47,500.0,0.731398834080308,0.6064498504008038,0.8167963207073698,0.05392025937798034,0.2599175760168099,0.1961889095078368,primary,
17,Female,full_no_anthro,GradientBoosting,random,572,47,500.0,0.7407038208652853,0.6354170555566954,0.8173365508939039,0.047521169656305894,0.2553530844441256,0.1949373224423364,primary,
18,Male,trajectory_only,Ridge,random,2662,26,500.0,0.8008175669468476,0.7597565200204417,0.8335441802852146,0.01852226622945981,0.1768737597521186,0.13584275869453805,primary,
18,Male,trajectory_only,RandomForest,random,2662,26,500.0,0.7956706632736339,0.7593303567133071,0.8257505376016832,0.01706972977731678,0.17918833743974077,0.13811583974629074,primary,
18,Male,trajectory_only,GradientBoosting,random,2662,26,500.0,0.7965331844572447,0.759632132579176,0.8279293232891634,0.0173642905290405,0.17879727818511815,0.13759401882561206,primary,
18,Male,traj_wind,Ridge,random,2662,40,500.0,0.8029167729813397,0.7637528236468936,0.8347119736262422,0.017945749181603132,0.17594614677983045,0.13521166660755074,primary,
18,Male,traj_wind,RandomForest,random,2662,40,500.0,0.7957538566213594,0.7586937540664969,0.8266439268683078,0.01733319784228988,0.17914266907329573,0.138329144169647,primary,
18,Male,traj_wind,GradientBoosting,random,2662,40,500.0,0.7989745819433482,0.7629656834923784,0.8292446651889803,0.016937422705968375,0.17772483357438712,0.13685859175684914,primary,
18,Male,full_no_anthro,Ridge,random,2662,47,500.0,0.8111449150793161,0.7753362348972379,0.8404693786195154,0.016721214481476242,0.1722430789408425,0.13211016414955207,primary,
18,Male,full_no_anthro,RandomForest,random,2662,47,500.0,0.8024628254901531,0.7674044220310623,0.8318350363150192,0.016729656919519786,0.17617621142262957,0.13606763108456357,primary,
18,Male,full_no_anthro,GradientBoosting,random,2662,47,500.0,0.8074053751378439,0.7733741085583878,0.8373722937878368,0.016301431134771296,0.17395375451570322,0.1335173261412341,primary,
18,Female,trajectory_only,Ridge,random,445,26,500.0,0.7851377188353108,0.6723566183249596,0.867981539292141,0.05106808672087385,0.20473158152721016,0.15541544508580105,primary,
18,Female,trajectory_only,RandomForest,random,445,26,500.0,0.7482750935590406,0.6280464048729476,0.8284058164104724,0.05019215731349191,0.2227273496338601,0.16903117464437173,primary,
18,Female,trajectory_only,GradientBoosting,random,445,26,500.0,0.7350667860128576,0.6040289515965505,0.8288933354164765,0.05775788219198156,0.22794505716286353,0.1679038237315581,primary,
18,Female,traj_wind,Ridge,random,445,40,500.0,0.7796981763046621,0.665173762650815,0.8647071348437134,0.05213884792386268,0.20731117393871062,0.15747095820851595,primary,
18,Female,traj_wind,RandomForest,random,445,40,500.0,0.7540300975889155,0.6308158683069712,0.8347695778536318,0.05181338303226683,0.21989828796318062,0.16706499038515857,primary,
18,Female,traj_wind,GradientBoosting,random,445,40,500.0,0.7381151367755174,0.6157627909146245,0.8287769561010343,0.055007133122517045,0.22669199085865258,0.16699318315072437,primary,
18,Female,full_no_anthro,Ridge,random,445,47,500.0,0.7802716518798531,0.6623243167887264,0.866553633583866,0.05242543327063427,0.20701316431926065,0.1561561828612123,primary,
18,Female,full_no_anthro,RandomForest,random,445,47,500.0,0.7545981866378779,0.6349631991731551,0.8339802651689661,0.050169093561288514,0.2197665241481185,0.16745446230645314,primary,
18,Female,full_no_anthro,GradientBoosting,random,445,47,500.0,0.7390629539105349,0.6177229035117541,0.8261111539565831,0.055034327598476186,0.22626306029521007,0.16696672517959787,primary,
